Oversub,Local_UM,Local_UM_PF,Remote_UM,Remote_UM_PF,PMEM_UM,PMEM_UM_PF
0.1,210.630,133.296,263.725,188.801,635.104,592.195
0.2,483.968,310.075,604.392,440.700,1556.828,1352.509
0.3,744.610,488.306,957.550,690.769,2416.947,2148.764
0.4,1021.775,675.183,1286.116,945.209,3276.935,2948.766
0.5,1287.214,851.255,1662.305,1200.220,4172.565,3742.568
0.6,1607.323,1030.553,2002.604,1443.137,5086.460,4415.216
0.7,1899.123,1215.908,2379.714,1695.183,5945.645,5363.074
0.8,2101.568,1392.058,2676.976,1954.107,6826.064,6037.416
0.9,2374.815,1562.293,3058.132,2196.259,7690.533,6888.147
1.0,2663.188,1750.745,3357.739,2454.118,8577.059,7671.114
1.1,3030.630,3129.945,3737.827,3916.022,9829.614,15180.180
1.2,3430.380,3550.459,4147.034,4365.003,10967.586,17973.752
1.3,3830.188,3940.246,4567.051,4868.302,12194.321,20329.346
1.4,4212.190,4338.477,5017.847,5341.987,13347.576,23050.154
1.5,4617.159,5987.955,5434.629,6005.423,14605.307,20040.016
1.6,5033.480,6653.226,5766.405,6889.211,16390.869,23556.686
1.7,5202.379,7318.351,5971.951,7156.838,17374.635,26150.170
1.8,5759.726,7901.228,6350.610,7882.974,18629.748,29397.697
1.9,6057.030,8561.843,6741.285,8433.356,19886.736,32571.506
2.0,6395.577,9092.999,7112.112,9218.162,21167.715,35033.297
2.1,6950.010,9912.995,7483.335,9838.975,22415.174,37484.469
2.2,7137.280,10386.377,7821.757,11233.012,23677.785,39899.379
2.3,7428.096,11199.094,9804.795,11208.985,24805.686,42163.320
2.4,7875.981,11736.840,8724.813,11670.659,25775.477,44523.625
2.5,8271.717,12219.827,9135.243,22242.703,27557.596,46998.543
